company_name,tax_code,vsic_4digit,vsic_division,address,province,founded_year,source_url,listing_url,retrieved_at
DOANH NGHIỆP TƯ NHÂN CƠ KHÍ MINH HOÀNG,4500565397,2511,25,"Số 128/23A Trần Phú, Phường Phủ Hà, TP. Phan Rang-Tháp Chàm, Tỉnh Ninh Thuận, Việt Nam",Ninh Thuận,,https://www.masothue.com/4500565397-doanh-nghiep-tu-nhan-co-khi-minh-hoang,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CÔNG TY TNHH XÂY DỰNG SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ NGỌC NGHI NINH THUẬN,4500578452,2511,25,"Số 142/19 Trần Phú, khu phố 1, Phường Phủ Hà, TP. Phan Rang-Tháp Chàm, Tỉnh Ninh Thuận, Việt Nam",Ninh Thuận,,https://www.masothue.com/4500578452-cong-ty-tnhh-xay-dung-san-xuat-thuong-mai-va-dich-vu-ngoc-nghi-ninh-thuan,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CÔNG TY TNHH THƯƠNG MẠI BC ĐÔNG SƠN,4600433281,2511,25,"Số nhà 107, đường Quang Vinh, tổ 11, Phường Quang Vinh, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Thái Nguyên,,https://www.masothue.com/4600433281-cong-ty-tnhh-thuong-mai-bc-dong-son,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CÔNG TY TNHH CHẾ TẠO MÁY THÁI AN,4601234049,2511,25,"Tổ 6, Phường Tích Lương, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Thái Nguyên,,https://www.masothue.com/4601234049-cong-ty-tnhh-che-tao-may-thai-an,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CÔNG TY TNHH NAM HỒNG DƯƠNG,4601246566,2511,25,"Số 672., Phường Tích Lương, Thành phố Thái Nguyên, Tỉnh Thái Nguyên, Việt Nam",Thái Nguyên,,https://www.masothue.com/4601246566-cong-ty-tnhh-nam-hong-duong,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY CỔ PHẦN GMS VIỆT NAM,4601305571,2511,25,"Xóm Đông Sinh , Xã Hồng Tiến, Thị xã Phổ Yên, Tỉnh Thái Nguyên, Việt Nam",Thái Nguyên,,https://www.masothue.com/4601305571-cong-ty-co-phan-gms-viet-nam,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=4,2026-08-24T09:02:43Z
CÔNG TY TNHH MỘT THÀNH VIÊN SẢN XUẤT VÀ THƯƠNG MẠI TÂN LỢI GIA LAI,5900859869,2511,25,"thôn 3, Xã Nam Yang, Huyện Đak Đoa, Tỉnh Gia Lai, Việt Nam",Gia Lai,,https://www.masothue.com/5900859869-cong-ty-tnhh-mot-thanh-vien-san-xuat-va-thuong-mai-tan-loi-gia-lai,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH MỘT THÀNH VIÊN MẪN KHUÊ,5900969893,2511,25,"Đường Lý Tự Trọng - Tổ dân phố 4, Thị Trấn Ia Kha, Huyện Ia Grai, Tỉnh Gia Lai, Việt Nam",Gia Lai,,https://www.masothue.com/5900969893-cong-ty-tnhh-mot-thanh-vien-man-khue,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
DOANH NGHIỆP TƯ NHÂN KÍNH NGỌC DUY,6001382264,2511,25,"Số 284 đường Nguyễn Văn Cừ, Phường Tân Lập, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",Đắk Lắk,,https://www.masothue.com/6001382264-doanh-nghiep-tu-nhan-kinh-ngoc-duy,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
CÔNG TY TNHH MỘT THÀNH VIÊN SẮT THÉP BẢO ĐẠT,6400375413,2511,25,"Đường Nguyễn Tất Thành, Phường Nghĩa Phú, Thành phố Gia Nghĩa, Tỉnh Đắk Nông, Việt Nam",Đắk Nông,,https://www.masothue.com/6400375413-cong-ty-tnhh-mot-thanh-vien-sat-thep-bao-dat,https://www.masothue.com/tra-cuu-ma-so-thue-theo-nganh-nghe/san-xuat-cac-cau-kien-kim-loai-2511?page=3,2026-08-24T09:02:42Z
